2014 Form EIA-860 Data - Schedule 6Acomma 'Boiler / Cooling System Associations',,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,Boiler ID,Cooling ID,Steam Plant Type
195,Alabama Power Co,8,Gorgas,7,5-7,1
195,Alabama Power Co,8,Gorgas,9,8-9,1
195,Alabama Power Co,8,Gorgas,8,8-9,1
195,Alabama Power Co,10,Greene County,1,1-2,1
195,Alabama Power Co,10,Greene County,2,1-2,1
195,Alabama Power Co,26,E C Gaston,1,1,1
195,Alabama Power Co,26,E C Gaston,2,1,1
195,Alabama Power Co,26,E C Gaston,2,2,1
195,Alabama Power Co,26,E C Gaston,1,2,1
195,Alabama Power Co,26,E C Gaston,4,3,1
195,Alabama Power Co,26,E C Gaston,3,3,1
195,Alabama Power Co,26,E C Gaston,3,4,1
195,Alabama Power Co,26,E C Gaston,4,4,1
195,Alabama Power Co,26,E C Gaston,5,5,1
195,Alabama Power Co,6001,Joseph M Farley,NSS1,1,3
195,Alabama Power Co,6001,Joseph M Farley,NSS2,2,3
195,Alabama Power Co,6002,James H Miller Jr,2,1-2,1
195,Alabama Power Co,6002,James H Miller Jr,1,1-2,1
195,Alabama Power Co,6002,James H Miller Jr,3,3-4,1
195,Alabama Power Co,6002,James H Miller Jr,4,3-4,1
261,AGC Division of APG Inc,6705,Warrick,3,1-3,1
261,AGC Division of APG Inc,6705,Warrick,1,1-3,1
261,AGC Division of APG Inc,6705,Warrick,2,1-3,1
261,AGC Division of APG Inc,6705,Warrick,4,4,1
298,City of Alexandria - (LA),6558,D G Hunter,3,2,1
298,City of Alexandria - (LA),6558,D G Hunter,4,3,1
343,AEP Generating Company,55502,Lawrenceburg Energy Facility,1B,0100,1
343,AEP Generating Company,55502,Lawrenceburg Energy Facility,1A,0100,1
343,AEP Generating Company,55502,Lawrenceburg Energy Facility,2A,0200,1
343,AEP Generating Company,55502,Lawrenceburg Energy Facility,2B,0200,1
520,Illinois Power Generating Co,861,Coffeen,01,01,1
520,Illinois Power Generating Co,861,Coffeen,02,02,1
520,Illinois Power Generating Co,6017,Newton,1,1,1
520,Illinois Power Generating Co,6017,Newton,2,2,1
554,City of Ames - (IA),1122,Ames Electric Services Power Plant,7,7,1
554,City of Ames - (IA),1122,Ames Electric Services Power Plant,8,8,1
641,ANP Bellingham Energy Company LLC,55211,ANP Bellingham Energy Project,U1,DC1,3
641,ANP Bellingham Energy Company LLC,55211,ANP Bellingham Energy Project,U2,DC2,3
656,ANP Blackstone Energy Company LLC,55212,ANP Blackstone Energy Project,U1,U1,3
656,ANP Blackstone Energy Company LLC,55212,ANP Blackstone Energy Project,U2,U2,3
733,Appalachian Power Co,3775,Clinch River,1,1,1
733,Appalachian Power Co,3775,Clinch River,2,2,1
733,Appalachian Power Co,3775,Clinch River,3,3,1
733,Appalachian Power Co,3776,Glen Lyn,51,5,1
733,Appalachian Power Co,3776,Glen Lyn,52,5,1
733,Appalachian Power Co,3776,Glen Lyn,6,6,1
733,Appalachian Power Co,3935,John E Amos,1,1,1
733,Appalachian Power Co,3935,John E Amos,2,2,1
733,Appalachian Power Co,3935,John E Amos,3,3,1
733,Appalachian Power Co,3936,Kanawha River,1,1,1
733,Appalachian Power Co,3936,Kanawha River,2,2,1
733,Appalachian Power Co,3938,Philip Sporn,11,11,1
733,Appalachian Power Co,3938,Philip Sporn,21,21,1
733,Appalachian Power Co,3938,Philip Sporn,31,31,1
733,Appalachian Power Co,3938,Philip Sporn,41,41,1
733,Appalachian Power Co,3938,Philip Sporn,51,51,1
733,Appalachian Power Co,6264,Mountaineer,1,1,1
733,Appalachian Power Co,55350,Dresden Energy Facility,1,CLTWRS,1
733,Appalachian Power Co,55350,Dresden Energy Facility,2,CLTWRS,1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,CFB3,CT1,1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,CFB2,CT1,1
772,Archer Daniels Midland Co,10860,Archer Daniels Midland Clinton,CFB1,CT1,1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,3,NCT,1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,1,NCT,1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,5,NCT,1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,2,NCT,1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,4,NCT,1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,4,SOUTH,1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,1,SOUTH,1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,3,SOUTH,1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,5,SOUTH,1
772,Archer Daniels Midland Co,10864,Archer Daniels Midland Cedar Rapids,2,SOUTH,1
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB5,CGCT,1
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB3,CGCT,1
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB6,CGCT,1
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB4,CGCT,1
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB7,CGCT,1
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB9,CGCT,1
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB8,CGCT,1
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB2,CGCT,1
772,Archer Daniels Midland Co,10865,Archer Daniels Midland Decatur,CFB1,CGCT,1
796,Arizona Electric Pwr Coop Inc,160,Apache Station,1,1,1
796,Arizona Electric Pwr Coop Inc,160,Apache Station,2,2,1
796,Arizona Electric Pwr Coop Inc,160,Apache Station,3,3,1
803,Arizona Public Service Co,113,Cholla,1,1,1
803,Arizona Public Service Co,113,Cholla,2,1,1
803,Arizona Public Service Co,113,Cholla,1,2,1
803,Arizona Public Service Co,113,Cholla,2,2,1
803,Arizona Public Service Co,113,Cholla,3,3,1
803,Arizona Public Service Co,113,Cholla,4,4,1
803,Arizona Public Service Co,116,Ocotillo,1,1,1
803,Arizona Public Service Co,116,Ocotillo,2,2,1
803,Arizona Public Service Co,117,West Phoenix,1B,CC1-3,1
803,Arizona Public Service Co,117,West Phoenix,3B,CC1-3,1
803,Arizona Public Service Co,117,West Phoenix,2B,CC1-3,1
803,Arizona Public Service Co,117,West Phoenix,CC4,CC4,1
803,Arizona Public Service Co,117,West Phoenix,CC5A,CC5,1
803,Arizona Public Service Co,117,West Phoenix,CC5B,CC5,1
803,Arizona Public Service Co,118,Saguaro,1,1,4
803,Arizona Public Service Co,118,Saguaro,2,2,4
803,Arizona Public Service Co,2442,Four Corners,1,1,1
803,Arizona Public Service Co,2442,Four Corners,2,1,1
803,Arizona Public Service Co,2442,Four Corners,1,2,1
803,Arizona Public Service Co,2442,Four Corners,2,2,1
803,Arizona Public Service Co,2442,Four Corners,3,3,1
803,Arizona Public Service Co,2442,Four Corners,4,4,1
803,Arizona Public Service Co,2442,Four Corners,5,5,1
803,Arizona Public Service Co,6008,Palo Verde,NSS1,1,3
803,Arizona Public Service Co,6008,Palo Verde,NSS2,2,3
803,Arizona Public Service Co,6008,Palo Verde,NSS3,3,3
803,Arizona Public Service Co,55455,Red Hawk,HRSG1A,CTWR-1,1
803,Arizona Public Service Co,55455,Red Hawk,HRSG1B,CTWR-1,1
803,Arizona Public Service Co,55455,Red Hawk,HRSG2B,CTWR-2,1
803,Arizona Public Service Co,55455,Red Hawk,HRSG2A,CTWR-2,1
807,Arkansas Electric Coop Corp,202,Carl Bailey,01,01,1
807,Arkansas Electric Coop Corp,203,McClellan (AR),01,01,1
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,HRSG3,COOLTW,1
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,HRSG4,COOLTW,1
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,HRSG1,COOLTW,1
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,HRSG6,COOLTW,1
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,HRSG2,COOLTW,1
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,HRSG7,COOLTW,1
807,Arkansas Electric Coop Corp,55221,Harry L. Oswald,HRSG5,COOLTW,1
807,Arkansas Electric Coop Corp,55714,Magnet Cove,HRSG1,SN0415,1
807,Arkansas Electric Coop Corp,55714,Magnet Cove,HRSG2,SN0415,1
814,Entergy Arkansas Inc,167,Cecil Lynch,2,2,4
814,Entergy Arkansas Inc,167,Cecil Lynch,3,3,4
814,Entergy Arkansas Inc,168,Hamilton Moses,1,1,4
814,Entergy Arkansas Inc,168,Hamilton Moses,2,2,4
814,Entergy Arkansas Inc,169,Harvey Couch,1,1,4
814,Entergy Arkansas Inc,169,Harvey Couch,2,2,4
814,Entergy Arkansas Inc,170,Lake Catherine,1,1,1
814,Entergy Arkansas Inc,170,Lake Catherine,2,2,1
814,Entergy Arkansas Inc,170,Lake Catherine,3,3,1
814,Entergy Arkansas Inc,170,Lake Catherine,4,4,1
814,Entergy Arkansas Inc,173,Robert E Ritchie,1,1,4
814,Entergy Arkansas Inc,173,Robert E Ritchie,2,2,4
814,Entergy Arkansas Inc,6009,White Bluff,1,1,1
814,Entergy Arkansas Inc,6009,White Bluff,2,2,1
814,Entergy Arkansas Inc,6641,Independence Steam Electric Station,1,1,1
814,Entergy Arkansas Inc,6641,Independence Steam Electric Station,2,2,1
814,Entergy Arkansas Inc,8055,Arkansas Nuclear One,NSS1,CW1,3
814,Entergy Arkansas Inc,8055,Arkansas Nuclear One,NSS2,CW2,3
814,Entergy Arkansas Inc,55418,Hot Spring Generating Facility,1H1100,1CW,1
814,Entergy Arkansas Inc,55418,Hot Spring Generating Facility,1H2100,1CW,1
924,Associated Electric Coopcomma Inc,2167,New Madrid,1,1,1
924,Associated Electric Coopcomma Inc,2167,New Madrid,2,2,1
924,Associated Electric Coopcomma Inc,2168,Thomas Hill,MB1,CW12,1
924,Associated Electric Coopcomma Inc,2168,Thomas Hill,MB2,CW12,1
924,Associated Electric Coopcomma Inc,2168,Thomas Hill,MB3,CW3,1
924,Associated Electric Coopcomma Inc,7604,St Francis Energy Facility,HRSG1,1,3
924,Associated Electric Coopcomma Inc,7604,St Francis Energy Facility,HRSG2,1,3
924,Associated Electric Coopcomma Inc,7757,Chouteau,2,1,1
924,Associated Electric Coopcomma Inc,7757,Chouteau,1,1,1
924,Associated Electric Coopcomma Inc,7757,Chouteau,3,2,1
924,Associated Electric Coopcomma Inc,7757,Chouteau,4,2,1
924,Associated Electric Coopcomma Inc,55340,Dell Power Station,HRSG1,2,1
924,Associated Electric Coopcomma Inc,55340,Dell Power Station,HRSG2,2,1
1015,Austin Energy,3548,Decker Creek,1,1,1
1015,Austin Energy,3548,Decker Creek,2,2,1
1015,Austin Energy,7900,Sand Hill,5A,CLTWR1,1
1074,Hays Energycomma LLC,55144,Hays Energy Project,HRSG1,ACC1,3
1074,Hays Energycomma LLC,55144,Hays Energy Project,HRSG2,ACC2,3
1074,Hays Energycomma LLC,55144,Hays Energy Project,HRSG3,CT3,3
1074,Hays Energycomma LLC,55144,Hays Energy Project,HRSG4,CT4,3
1307,Basin Electric Power Coop,2817,Leland Olds,1,1,1
1307,Basin Electric Power Coop,2817,Leland Olds,2,2,1
1307,Basin Electric Power Coop,6204,Laramie River Station,1,1,1
1307,Basin Electric Power Coop,6204,Laramie River Station,2,2,1
1307,Basin Electric Power Coop,6204,Laramie River Station,3,3,1
1307,Basin Electric Power Coop,6469,Antelope Valley,B1,CC1,1
1307,Basin Electric Power Coop,6469,Antelope Valley,B2,CC2,1
1307,Basin Electric Power Coop,56609,Dry Fork Station,1,ACC,1
1307,Basin Electric Power Coop,56610,Deer Creek Station,U1HRSG,U1ACC,1
1616,Berkshire Power Co LLC,55041,Berkshire Power,HRSG1A,CT1A,3
1692,Big Rivers Electric Corp,1381,Kenneth C Coleman,C1,C1,1
1692,Big Rivers Electric Corp,1381,Kenneth C Coleman,C2,C2,1
1692,Big Rivers Electric Corp,1381,Kenneth C Coleman,C3,C3,1
1692,Big Rivers Electric Corp,1382,HMP&L Station Two Henderson,H1,H,1
1692,Big Rivers Electric Corp,1382,HMP&L Station Two Henderson,H2,H,1
1692,Big Rivers Electric Corp,6639,R D Green,G1,G1,1
1692,Big Rivers Electric Corp,6639,R D Green,G2,G2,1
1692,Big Rivers Electric Corp,6823,D B Wilson,W1,W1,1
1735,Birchwood Power Partners LP,54304,Birchwood Power,1A,1F,1
2171,Brazos Valley Energy,55357,Brazos Valley Generating Facility,HRSG2,CT1,1
2171,Brazos Valley Energy,55357,Brazos Valley Generating Facility,HRSG1,CT1,1
2172,Brazos Electric Power Coop Inc,3628,R W Miller,1,1,1
2172,Brazos Electric Power Coop Inc,3628,R W Miller,2,2,1
2172,Brazos Electric Power Coop Inc,3628,R W Miller,3,3,1
2172,Brazos Electric Power Coop Inc,54817,Johnson County,HRSG,1 HRC,1
2172,Brazos Electric Power Coop Inc,55230,Jack County,HRSG1,CTW1,1
2172,Brazos Electric Power Coop Inc,55230,Jack County,HRSG2,CTW1,1
2172,Brazos Electric Power Coop Inc,55230,Jack County,HRSG3,CTW2,1
2172,Brazos Electric Power Coop Inc,55230,Jack County,HRSG4,CTW2,1
2232,Bridgeport Energy LLC,55042,Bridgeport Energy Project,HRSG2,CWS1,3
2232,Bridgeport Energy LLC,55042,Bridgeport Energy Project,HRSG1,CWS1,3
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,HRSG1,001,4
2313,Brooklyn Navy Yard Cogen PLP,54914,Brooklyn Navy Yard Cogeneration,HRSG2,001,4
2338,Calpine Central LP,56104,Mankato Energy Center,HRSG2,CT101,1
2338,Calpine Central LP,56104,Mankato Energy Center,HRSG1,CT101,1
2442,City of Bryan - (TX),3561,Bryan (TX),3,3,1
2442,City of Bryan - (TX),3561,Bryan (TX),4,4,1
2442,City of Bryan - (TX),3561,Bryan (TX),5,5,1
2442,City of Bryan - (TX),3561,Bryan (TX),6,6,1
2442,City of Bryan - (TX),6243,Dansby,1,1,1
2507,City of Burbank Water and Power,6013,Olive,01,01,1
2507,City of Burbank Water and Power,6013,Olive,02,02,1
2507,City of Burbank Water and Power,56046,Magnolia Power Project,HRSG2,2,1
2799,Calpine Corp - Metcalf Energy Center,55393,Metcalf Energy Center,HSRG 2,CLGTWR,1
2799,Calpine Corp - Metcalf Energy Center,55393,Metcalf Energy Center,HRSG 1,CLGTWR,1
2820,Calpine Corp - Pastoria Energy Center,55656,Pastoria Energy Facilitycomma LLC,HRSG01,CWT01,3
2820,Calpine Corp - Pastoria Energy Center,55656,Pastoria Energy Facilitycomma LLC,HRSG02,CWT01,3
2820,Calpine Corp - Pastoria Energy Center,55656,Pastoria Energy Facilitycomma LLC,HRSG04,CWT02,3
2838,Baytown Energy Center LLC,55327,Baytown Energy Center,HRSG2,CT,1
2838,Baytown Energy Center LLC,55327,Baytown Energy Center,HRSG3,CT,1
2838,Baytown Energy Center LLC,55327,Baytown Energy Center,HRSG1,CT,1
2843,Los Medanos Energy Center LLC,55217,Los Medanos Energy Center,HRSG2,CT,1
2843,Los Medanos Energy Center LLC,55217,Los Medanos Energy Center,HRSG1,CT,1
2860,Los Esteros Critical Energy Facility LLC,55748,Los Esteros Critical Energy Center,HRSG1,1,1
2860,Los Esteros Critical Energy Facility LLC,55748,Los Esteros Critical Energy Center,HRSG4,1,1
2860,Los Esteros Critical Energy Facility LLC,55748,Los Esteros Critical Energy Center,HRSG2,1,1
2860,Los Esteros Critical Energy Facility LLC,55748,Los Esteros Critical Energy Center,HRSG3,1,1
2860,Los Esteros Critical Energy Facility LLC,55748,Los Esteros Critical Energy Center,HRSG4,2,1
2860,Los Esteros Critical Energy Facility LLC,55748,Los Esteros Critical Energy Center,HRSG1,2,1
2860,Los Esteros Critical Energy Facility LLC,55748,Los Esteros Critical Energy Center,HRSG3,2,1
2860,Los Esteros Critical Energy Facility LLC,55748,Los Esteros Critical Energy Center,HRSG2,2,1
2876,Calvert Cliffs Nuclear PP LLC,6011,Calvert Cliffs Nuclear Power Plant,NSS1,SYS042,3
2876,Calvert Cliffs Nuclear PP LLC,6011,Calvert Cliffs Nuclear Power Plant,NSS2,SYS042,3
2877,Calpine Corp-Magic Valley,55123,Magic Valley Generating Station,HRSG1,CT,1
2877,Calpine Corp-Magic Valley,55123,Magic Valley Generating Station,HRSG2,CT,1
2891,Westbrook Energy Center,55294,Westbrook Energy Center Power Plant,HRSG1,CIRC,3
2891,Westbrook Energy Center,55294,Westbrook Energy Center Power Plant,HRSG2,CIRC,3
2897,Oneta Power LLC,55225,Oneta Energy Center,HRSG-2,CW-1,1
2897,Oneta Power LLC,55225,Oneta Energy Center,HRSG-1,CW-1,1
2897,Oneta Power LLC,55225,Oneta Energy Center,HRSG-3,CW-2,1
2897,Oneta Power LLC,55225,Oneta Energy Center,HRSG-4,CW-2,1
2929,Decatur Energy Center LLC,55292,Decatur Energy Center,HRSG1,CWS,1
2929,Decatur Energy Center LLC,55292,Decatur Energy Center,HRSG2,CWS,1
2929,Decatur Energy Center LLC,55292,Decatur Energy Center,HRSG3,CWS,1
2934,Calpine Corp - Hidalgo,55545,Hidalgo Energy Center,HRSG2,CTOWER,3
2934,Calpine Corp - Hidalgo,55545,Hidalgo Energy Center,HRSG1,CTOWER,3
3046,Duke Energy Progress - (NC),2706,Asheville,1,1,1
3046,Duke Energy Progress - (NC),2706,Asheville,2,2,1
3046,Duke Energy Progress - (NC),2708,Cape Fear,5,5,4
3046,Duke Energy Progress - (NC),2708,Cape Fear,6,6,4
3046,Duke Energy Progress - (NC),2709,HF Lee Plant,1,1,4
3046,Duke Energy Progress - (NC),2709,HF Lee Plant,2,2,4
3046,Duke Energy Progress - (NC),2709,HF Lee Plant,3,3,4
3046,Duke Energy Progress - (NC),2712,Roxboro,1,1,1
3046,Duke Energy Progress - (NC),2712,Roxboro,2,2,1
3046,Duke Energy Progress - (NC),2712,Roxboro,3B,3,1
3046,Duke Energy Progress - (NC),2712,Roxboro,3A,3,1
3046,Duke Energy Progress - (NC),2712,Roxboro,4B,4,1
3046,Duke Energy Progress - (NC),2712,Roxboro,4A,4,1
3046,Duke Energy Progress - (NC),2713,L V Sutton Steam,1,1,4
3046,Duke Energy Progress - (NC),2713,L V Sutton Steam,2,2,4
3046,Duke Energy Progress - (NC),2713,L V Sutton Steam,3,3,4
3046,Duke Energy Progress - (NC),2716,W H Weatherspoon,1,1,4
3046,Duke Energy Progress - (NC),2716,W H Weatherspoon,2,2,4
3046,Duke Energy Progress - (NC),2716,W H Weatherspoon,3,3,4
3046,Duke Energy Progress - (NC),3251,H B Robinson,1,1,3
3046,Duke Energy Progress - (NC),3251,H B Robinson,NSS2,1,3
3046,Duke Energy Progress - (NC),3251,H B Robinson,NSS2,2,3
3046,Duke Energy Progress - (NC),6014,Brunswick Nuclear,NSS1,1,3
3046,Duke Energy Progress - (NC),6014,Brunswick Nuclear,NSS2,2,3
3046,Duke Energy Progress - (NC),6015,Harris,NSS1,1,3
3046,Duke Energy Progress - (NC),6250,Mayo,1A,1,1
3046,Duke Energy Progress - (NC),6250,Mayo,1B,1,1
3046,Duke Energy Progress - (NC),7805,Sherwood H Smith Jr Energy Complex,4,ST4,1
3046,Duke Energy Progress - (NC),7805,Sherwood H Smith Jr Energy Complex,ST5,ST5,1
3046,Duke Energy Progress - (NC),58215,Lee Combined Cycle Plant,ST1,ST1,1
3046,Duke Energy Progress - (NC),58697,L V Sutton Combined Cycle,01A,001,1
3046,Duke Energy Progress - (NC),58697,L V Sutton Combined Cycle,01B,001,1
3131,Carville Energy LLC,55404,Carville Energy LLC,HRSG2,CTW,1
3131,Carville Energy LLC,55404,Carville Energy LLC,HRSG1,CTW,1
3265,Cleco Power LLC,51,Dolet Hills,1,CW,1
3265,Cleco Power LLC,1396,Coughlin Power Station,6-1,6,1
3265,Cleco Power LLC,1396,Coughlin Power Station,7-1,7,1
3265,Cleco Power LLC,1396,Coughlin Power Station,7-2,7,1
3265,Cleco Power LLC,1400,Teche,1,1,1
3265,Cleco Power LLC,1400,Teche,2,2,1
3265,Cleco Power LLC,1400,Teche,3,3,1
3265,Cleco Power LLC,6190,Brame Energy Center,1,1,1
3265,Cleco Power LLC,6190,Brame Energy Center,2,2,1
3265,Cleco Power LLC,6190,Brame Energy Center,3-2,3,1
3265,Cleco Power LLC,6190,Brame Energy Center,3-1,3,1
3265,Cleco Power LLC,55173,Acadia Energy Center,HRSG11,CT 1,1
3265,Cleco Power LLC,55173,Acadia Energy Center,HRSG12,CT 1,1
3265,Cleco Power LLC,55173,Acadia Energy Center,HRSG25,CT 2,1
3265,Cleco Power LLC,55173,Acadia Energy Center,HRSG24,CT 2,1
3303,Florida Power Development,10333,Florida Power Development,1,1,1
3370,Channel Energy Center LLC,55299,Channel Energy Center LLC,HRSG1,CT,1
3370,Channel Energy Center LLC,55299,Channel Energy Center LLC,HRSG2,CT,1
3370,Channel Energy Center LLC,55299,Channel Energy Center LLC,HRSG3,CT,1
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,1,1,1
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,2,2,1
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,3,3,1
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,4,4,1
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,5,5,1
3542,Duke Energy Ohio Inc,2830,Walter C Beckjord,6,6,1
3542,Duke Energy Ohio Inc,2832,Miami Fort,5-1,5,1
3542,Duke Energy Ohio Inc,2832,Miami Fort,5-2,5,1
3542,Duke Energy Ohio Inc,2832,Miami Fort,6,6,1
3542,Duke Energy Ohio Inc,2832,Miami Fort,7,7-8,1
3542,Duke Energy Ohio Inc,2832,Miami Fort,8,7-8,1
3542,Duke Energy Ohio Inc,6019,W H Zimmer,1,1,1
3549,Choctaw Gas Generating Pro LLC,55694,Quantum Choctaw Power LLC,HSG1,CLGTWR,1
3549,Choctaw Gas Generating Pro LLC,55694,Quantum Choctaw Power LLC,HSG2,CLGTWR,1
3593,Choctaw Generation L.Pcomma L.L.L.P.,55076,Red Hills Generating Facility,AA001,AA021,1
3593,Choctaw Generation L.Pcomma L.L.L.P.,55076,Red Hills Generating Facility,AA002,AA021,1
3660,PUD No 1 of Clark County - (WA),7605,River Road Gen Plant,1,1,3
3807,Cleveland Cliffs Inc,10849,Silver Bay Power,BLR1,CW1,1
3807,Cleveland Cliffs Inc,10849,Silver Bay Power,BLR2,CW1,1
3890,EFS Cogen Holdings I LLC,50006,Linden Cogen Plant,HRSG5,AC1,1
3890,EFS Cogen Holdings I LLC,50006,Linden Cogen Plant,HRSG3,AC1,1
3890,EFS Cogen Holdings I LLC,50006,Linden Cogen Plant,HRSG4,AC1,1
3890,EFS Cogen Holdings I LLC,50006,Linden Cogen Plant,HRSG1,AC1,1
3890,EFS Cogen Holdings I LLC,50006,Linden Cogen Plant,HRSG2,AC1,1
3989,City of Colorado Springs - (CO),492,Martin Drake,5,5,1
3989,City of Colorado Springs - (CO),492,Martin Drake,6,6,1
3989,City of Colorado Springs - (CO),492,Martin Drake,7,7,1
3989,City of Colorado Springs - (CO),8219,Ray D Nixon,1,1,1
3989,City of Colorado Springs - (CO),55283,Front Range Power Plant,HRSG1,3,1
3989,City of Colorado Springs - (CO),55283,Front Range Power Plant,HRSG2,3,1
4028,Columbia Energy LLC,55386,Columbia Energy Center (SC),DB2,CT,1
4028,Columbia Energy LLC,55386,Columbia Energy Center (SC),DB1,CT,1
4161,Constellation Power Source Gen,1553,Gould Street,3,3,1
4210,Cordova Energy Co LLC,55188,Cordova Energy,HRSG21,CW1,3
4210,Cordova Energy Co LLC,55188,Cordova Energy,HRSG11,CW1,3
4226,Consolidated Edison Co-NY Inc,2493,East River,60,6,1
4226,Consolidated Edison Co-NY Inc,2493,East River,70,7,1
4254,Consumers Energy Co,1695,B C Cobb,2,1,1
4254,Consumers Energy Co,1695,B C Cobb,3,1,1
4254,Consumers Energy Co,1695,B C Cobb,1,1,1
4254,Consumers Energy Co,1695,B C Cobb,2,2,1
4254,Consumers Energy Co,1695,B C Cobb,3,2,1
4254,Consumers Energy Co,1695,B C Cobb,1,2,1
4254,Consumers Energy Co,1695,B C Cobb,3,3,1
4254,Consumers Energy Co,1695,B C Cobb,2,3,1
4254,Consumers Energy Co,1695,B C Cobb,1,3,1
4254,Consumers Energy Co,1695,B C Cobb,4,4,1
4254,Consumers Energy Co,1695,B C Cobb,5,5,1
4254,Consumers Energy Co,1702,Dan E Karn,2,1,1
4254,Consumers Energy Co,1702,Dan E Karn,1,1,1
4254,Consumers Energy Co,1702,Dan E Karn,3,3,1
4254,Consumers Energy Co,1702,Dan E Karn,4,3,1
